ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SBML,SP0014,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,22° 11' 44'' S,49° 55' 37'' W,650,VFR Diurno/Noturno e IFR Diurno/Noturno, 03/21,1700,35,PCN 35/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMO,AL0001,ZUMBI DOS PALMARES,MACEIÓ,AL,9° 31' 2'' S,35° 47' 1'' W,118,VFR Diurno/Noturno e IFR Diurno/Noturno, 12/30,2602,45,PCN 46/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMQ,AP0001,ALBERTO ALCOLUMBRE,MACAPÁ,AP,0° 3' 3'' N,51° 4' 13'' W,17,VFR Diurno/Noturno e IFR Diurno/Noturno, 08/26,1800,45,PCN 48/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMS,RN0002,DIX-SEPT ROSADO,MOSSORÓ,RN,5° 11' 45'' S,37° 21' 42'' W,23,VFR Diurno e IFR Diurno/Noturno, 05/23,2000,30,PCN 31/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMT,SP0007,CAMPO DE MARTE,SÃO PAULO,SP,23° 30' 24'' S,46° 38' 2'' W,722,VFR Diurno/Noturno, 12/30,1600,45,PCN 16/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBMY,AM0015,MANICORÉ,MANICORÉ,AM,5° 49' 1'' S,61° 17' 2'' W,53,VFR Diurno, 05/23,1265,30,PCN 12/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBNF,SC0002,MINISTRO VICTOR KONDER,NAVEGANTES,SC,26° 52' 43'' S,48° 39' 3'' W,5,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,1701,45,PCN 33/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBNM,RS0008,SANTO ÂNGELO,SANTO ÂNGELO,RS,28° 16' 54'' S,54° 10' 6'' W,322,VFR Diurno/Noturno e IFR Diurno/Noturno, 12/30,1625,30,PCN 35/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBOI,AP0002,OIAPOQUE,OIAPOQUE,AP,3° 51' 41'' N,51° 47' 46'' W,19,VFR Diurno e IFR Diurno, 03/21,1200,30,PCN 10/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPA,RS0001,SALGADO FILHO,PORTO ALEGRE,RS,29° 59' 38'' S,51° 10' 16'' W,4,VFR Diurno/Noturno e IFR Diurno/Noturno, 11/29,2280,45,PCN 74/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPB,PI0002,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,2° 53' 38'' S,41° 43' 49'' W,5,VFR Diurno/Noturno, 10/28,2500,45,PCN 52/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPC,MG0018,EMBAIXADOR WALTHER MOREIRA SALLES,POÇOS DE CALDAS,MG,21° 50' 16'' S,46° 33' 58'' W,1261,VFR Diurno e IFR Diurno, 09/27,1515,30,PCN 14/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPF,RS0006,LAURO KURTZ,PASSO FUNDO,RS,28° 14' 43'' S,52° 19' 43'' W,724,VFR Diurno/Noturno e IFR Diurno/Noturno, 08/26,1700,30,PCN 29/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPJ,TO0001,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,10° 17' 24'' S,48° 21' 28'' W,236,VFR Diurno/Noturno e IFR Diurno/Noturno, 14/32,2500,45,PCN 48/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPK,RS0005,JOÃO SIMÕES LOPES NETO,PELOTAS,RS,31° 42' 58'' S,52° 19' 52'' W,18,VFR Diurno/Noturno e IFR Diurno/Noturno, 06/24,1980,42,PCN 35/R/B/W/T,Concreto,,,,,,,,,,,,,,,,,,,,,,,,
SBPL,PE0002,SENADOR NILO COELHO,PETROLINA,PE,9° 22' 3'' S,40° 33' 49'' W,384,VFR Diurno/Noturno e IFR Diurno/Noturno, 13/31,3250,45,PCN 80/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SDPE,TO0003,PORTO NACIONAL,PORTO NACIONAL,TO,10° 43' 1'' S,48° 24' 1'' W,265,VFR Diurno/Noturno, 05/23,1700,30,PCN 27/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPP,MS0005,PONTA PORÃ,PONTA PORÃ,MS,22° 32' 59'' S,55° 42' 9'' W,657,VFR Diurno e IFR Diurno/Noturno, 04/22,2000,45,PCN 31/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBPR,MG0005,CARLOS PRATES,BELO HORIZONTE,MG,19° 54' 33'' S,43° 59' 21'' W,928,VFR Diurno, 09/27,868,18,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
